年,正(15-24),非(15-24),正(25-34),非(25-34),正(35-44),非(35-44),正(45-54),非(45-54),正(55-64),非(55-64),正(65-),非(65-)
2002,336,142,1049,271,797,261,838,323,406,244,58,95
2003,313,148,1034,283,811,276,802,325,421,261,58,99
2004,303,151,1018,310,815,292,774,316,447,296,50,96
2005,287,149,992,320,832,302,749,322,459,318,52,108
2006,294,145,983,330,855,322,738,320,482,332,61,122
2007,288,130,940,327,894,334,742,328,514,356,69,141
2008,280,133,917,316,905,350,734,322,500,377,70,154
2009,270,115,885,306,930,344,736,324,493,370,77,158
2010,256,112,864,302,942,355,746,330,492,391,74,163
2011,244,117,845,304,962,372,747,333,479,414,74,168
2012,238,108,827,297,971,370,752,344,474,407,81,179
2013,234,112,800,303,958,390,768,364,458,418,81,204
2014,237,106,783,304,948,399,777,376,453,423,86,235
2015,240,103,777,292,942,396,803,388,461,414,93,268
2016,251,102,784,282,935,387,837,401,464,415,99,300
2017,259,97,788,276,933,373,868,414,474,422,109,316
2018,267,95,799,267,921,374,904,427,488,430,111,358
2019,269,95,798,264,899,361,930,439,501,437,114,388
2020,269,89,806,248,883,336,952,433,522,428,120,389
2021,268,87,817,237,871,323,970,435,531,425,124,393
