年次,総数,3ヶ月未満,3ヶ月以上,3-6ヶ月未満,6ヶ月-1年未満,1年以上,1-2年未満,2年以上
2002,359,118,228,61,62,105,52,53
2003,350,115,234,56,60,118,58,60
2004,313,106,204,49,49,106,48,58
2005,294,103,189,46,46,96,42,54
2006,275,98,175,44,41,90,37,53
2007,257,94,159,38,39,83,34,49
2008,265,96,166,42,37,87,36,51
2009,336,117,215,59,60,96,44,52
2010,335,94,230,51,58,121,59,62
2011,302,88,205,42,46,117,52,65
2012,285,85,192,41,44,107,44,63
2013,266,76,180,37,38,104,42,62
2014,237,74,154,33,33,89,36,53
2015,223,73,141,32,32,77,29,48
2016,208,68,131,27,27,77,29,48
2017,190,64,119,27,25,67,25,42
2018,169,63,103,26,24,53,22,31
2019,165,62,99,24,24,51,19,32
2020,192,70,117,35,29,53,21,32
2021,195,66,126,29,30,67,31,36
